player_name,position,team,conf,games_played,game_min_%,pts_per_game,field_goal_% ,3_pt_%,Free_throw_%,offensive_rebound_per_game,defensive_ rebound_per_game,AST_per_game,stl_per_game,blk_per_game,offensive_rating,usage,classification,year
Isaiah Felder,Wing G,South Carolina St.,MEAC,11,17.6,2.3636,34.7,0.25,0.5,2.5,15.7,8.1,0.9,0,61.1,18.6,Sr,2022
Jalen Coleman-Lands,Wing G,Kansas,B12,23,78.5,14.3043,54,0.395,0.861,3.6,10.2,7.8,1.4,0.3,103.1,21.5,Sr,2022
K.J. Walton,Wing G,Akron,MAC,20,63,16.35,54.3,0,0.793,9.1,12.6,8.9,2.4,0.7,108.6,26.5,Sr,2022
Jeriah Horne,Stretch 4,Tulsa,Amer,32,61.3,10.8125,55.2,0.397,0.906,5.8,23,7.5,1.5,0.3,116,20.8,Sr,2022
Eric Curry,Wing F,Minnesota,B10,29,39.2,3.6552,46.3,0.19,0.621,7,13.7,10.2,2.9,1.5,95.1,14.7,Sr,2022
Jailyn Ingram,Stretch 4,Georgia,SEC,18,59.2,12.4091,46,0.357,0.727,5.3,22.7,14.7,1.8,1.8,98.4,23.5,Sr,2022
Quentin Jackson Jr.,Scoring PG,Loyola Marymount,WCC,6,11.4,3.8333,47.6,0.444,0.75,1.3,3.8,9.6,2.3,0,95.7,13.5,Sr,2022
Charlie Moore,Scoring PG,Miami FL,ACC,16,67.1,14.375,47.4,0.346,0.762,2.5,9.6,28.2,1.9,0,96.3,26.6,Sr,2022
Ben Shungu,Combo G,Vermont,AE,15,73,10.8,51.9,0.302,0.864,2.3,15.9,23,1.6,1.1,114.7,20.4,Sr,2022
Keon Clergeot,Combo G,Southeastern Louisiana,Slnd,24,72.7,15.875,47.1,0.333,0.802,2.6,9.1,15.7,1.7,0.3,101.5,25.9,Sr,2022
Bryce Aiken,Scoring PG,Seton Hall,BE,14,18.4,5.7143,38.9,0.27,0.889,0,7.5,20.9,1.5,0,99.5,23.5,Sr,2022
Peter Kiss,Wing G,Bryant,NEC,21,82.9,16.6364,56.9,0.422,0.87,5.3,14.4,18.1,2.6,0.8,114,22.5,Sr,2022
George Willborn III,Wing G,UC Riverside,BW,21,34.6,5.2857,52.8,0.429,0.607,5.2,11.6,4.4,2.7,0.4,102.7,19.2,Sr,2022
Kevin Marfo,C,Quinnipiac,MAAC,17,29.9,2.6471,46.4,0,0.704,12.8,23.2,4.7,3.1,4,97,15,Sr,2022
Jair Bolden,Wing G,Butler,BE,25,81.4,10.52,46.2,0.341,0.732,1.4,12.3,6.1,1.3,0.7,96.7,17.8,Sr,2022
Joey Brunk,,Ohio St.,B10,32,48.7,,52.2,0,0.446,9.8,20.4,6.7,0.6,2,101.1,19.4,Sr,2022
Davion Mintz,Combo G,Kentucky,SEC,25,76.4,11.52,51.2,0.381,0.656,2.7,8.4,20.6,1.9,0.7,105.9,19.8,Sr,2022
Tyson Jolly,Wing G,Iona,MAAC,8,28.5,9.25,50.9,0.391,0.6,4.2,17.2,5.7,0.6,2.4,95,20.3,Sr,2022
AJ Wilson,PF/C,South Carolina,SEC,20,52,7.7619,41.5,0.25,0.5,8,17.6,7.3,0.5,9.8,90.2,22.5,Sr,2022
Xavier Green,Wing G,Maryland,B10,22,84.5,6.6957,39.1,0.298,0.733,2.3,10.8,12.3,1.4,1,80.8,15.5,Sr,2022
Tareq Coburn,Wing G,St. John's,BE,21,75,15.0952,56.5,0.396,0.82,3.9,9.1,5.1,2.2,2.6,120.9,19.4,Sr,2022
Tavian Dunn-Martin,Scoring PG,Florida Gulf Coast,ASun,18,75.4,10.1667,43.9,0.304,0.762,0.8,8.1,23.7,1.9,0,92.8,21.6,Sr,2022
Jakolby Long,Combo G,Bethune Cookman,SWAC,12,6.2,1.1538,50,0,0.833,2,12,9.4,2.9,1.9,89.3,14.9,Sr,2022
Taze Moore,Combo G,Houston,Amer,21,49.8,12.2609,51.8,0.514,0.823,5.4,17.5,25.8,3.7,3.4,105.7,29.8,Sr,2022
Justin Edler-Davis,Wing G,Cal St. Bakersfield,BW,24,68,9.3077,50.8,0.385,0.809,7,11.4,5.8,0.9,1,114.3,17.2,Sr,2022
Greg Lee,PF/C,Penn St.,B10,20,68.3,12.9524,52.7,0.25,0.66,6.7,23.7,22.8,0.5,0.8,99.5,28.5,Sr,2022
Brandon Johnson,Stretch 4,DePaul,BE,28,61.4,8.8571,50,0.255,0.714,8.4,17.9,5.4,1.8,2.6,114.7,16.5,Sr,2022
Nick Robinson,Wing G,Western Carolina,SC,6,14.5,9.125,44.7,0.25,0.9,3.8,15.5,16.7,2.7,1.5,93.5,19.1,Sr,2022
Grant Golden,PF/C,Richmond,A10,20,63.2,12.7143,58.8,0.5,0.667,5.1,21.5,26.6,1.2,2,108,26.3,Sr,2022
De'Monte Buckingham,Wing G,UNC Greensboro,SC,24,47.5,7.0769,43.7,0.29,0.824,6.2,20.6,13.3,1.6,0.6,103.7,21,Sr,2022
Nick Sherod,,Richmond,A10,31,73.1,,57.8,0.438,0.805,2.6,17.8,10.5,1.8,0.3,115.4,19.2,Sr,2022
Chance Garvin,Scoring PG,Idaho,BSky,12,25.4,3.3333,44.4,0.313,0,2.8,12.6,19.2,2.1,1,74.1,16.7,Sr,2022
Perry Francois,C,Charlotte,CUSA,21,44.8,7.3333,55.4,0,0.486,8.2,13.6,13.3,1.4,5.6,100,18.9,Sr,2022
Vittorio Reynoso-Avila,PF/C,Santa Clara,WCC,8,2.2,0,0,0,0,13.2,12.7,0,0,6,90.6,4.4,Sr,2022
Randy Miller Jr.,Wing G,North Carolina Central,MEAC,24,51.1,6.4,39.5,0.302,0.75,0.7,10.1,7.1,1.6,0,84.1,19.3,Sr,2022
Ryan Gomes,C,Houston Baptist,Slnd,20,20,2.2381,52.9,0,0.556,5.7,13.3,3.9,0.3,6.4,78.6,14.2,Sr,2022
Nolan Taylor,PF/C,Southeast Missouri St.,OVC,18,29.7,8.7778,55.7,0,0.625,8.6,18.2,12.5,0.9,0.7,110.6,23.2,Sr,2022
Scott Spencer,Wing G,Tulane,Amer,19,38.3,7,51.3,0.432,0.583,4.4,13.1,6.4,1.6,0.3,93,19.4,Sr,2022
Algevon Eichelberger,Wing F,Cleveland St.,Horz,19,27.8,6.1579,45.6,0.333,0.667,12,12,14.3,1.5,1.6,98,25,Sr,2022
Eron Gordon,Wing G,Valparaiso,MVC,26,72.6,6.8214,48.6,0.329,0.677,1.4,19.6,10.3,1.4,1.6,91.7,15.1,Sr,2022
Mitch Lightfoot,C,Kansas,B12,29,26.4,3.4,52.6,0.25,0.615,10.7,14.4,2.5,0.6,7.6,96.7,18.7,Sr,2022
Nate Johnson,Combo G,Xavier,BE,16,58.4,11.375,57.9,0.452,0.8,2.8,11.6,9.5,2.2,0.2,112.7,16.5,Sr,2022
Drew Buggs,Scoring PG,Winthrop,BSth,26,33.8,1.8462,35.3,0.2,0.522,1.3,8.5,23.4,1.8,1.2,84.1,13.4,Sr,2022
Devin Kirby,C,Montana St.,BSky,18,28.2,1.5,64.3,0,0.231,8.8,9.2,5.2,0.2,1.9,110.5,7,Sr,2022
Keith Fisher III,,Pepperdine,WCC,29,59.3,,47.6,0.375,0.614,11,18.3,7.9,1.5,1.3,92.3,24.8,Sr,2022
